"","country_id","party","party_id","cee","ches_id","family","cmp_id","parlgov_id","manichean","indivisble","generalwill","peoplecentrism","antielitism","complex","emotional","lroverall","lrecon","immigration","eu","nativism","laworder","lifestyle","intradem","personalised","nr_experts","mean_expert_response","populism"
"1","AU","SPO",101,0,1301,5,42320,973,3.66666674613953,3.76923084259033,3.69230771064758,3.69230771064758,3.23076915740967,6.46153831481934,4.8461537361145,3.53846144676208,2.92307686805725,5.46153831481934,8.07692337036133,2.46153855323792,3.38461542129517,7.38461542129517,6.307692527771,6.23076915740967,13,12.9375,2.17678928375244
"2","AU","OVP",102,0,1302,4,42520,1013,5.58333349227905,5,5.07692289352417,4.07692289352417,3.76923084259033,4.76923084259033,6.76923084259033,7.307692527771,7.61538457870483,2.07692313194275,6.307692527771,6.53846168518066,7,2.92307686805725,4.53846168518066,8.53846168518066,13,12.9375,3.80231380462646
"3","AU","FPO",103,0,1303,1,42420,50,7.91666650772095,8.38461494445801,8.46153831481934,8.53846168518066,8.58333301544189,1.69230771064758,8.76923084259033,8.53846168518066,6.23076915740967,0.384615391492844,1.53846156597137,9.307692527771,9.15384578704834,2.30769228935242,2.61538457870483,8.61538505554199,13,12.875,8.8984899520874
"4","AU","Gruene",104,0,1304,7,42110,1429,4.16666650772095,1.92307686805725,2.30769228935242,3.76923084259033,3.53846144676208,7,4.61538457870483,2.69230771064758,2.61538457870483,8.07692337036133,8.76923084259033,0.692307710647583,1.30769228935242,8.38461494445801,8.15384578704834,3.1538462638855,13,12.9375,1.47769749164581
"5","AU","NEOS",105,0,1306,3,42430,2255,3.58333325386047,1.92307686805725,2.38461542129517,3.69230771064758,3.53846144676208,6,4.38461542129517,6,7.46153831481934,6.07692289352417,9.23076915740967,1.92307686805725,1.61538457870483,8.15384578704834,7.66666650772095,6.307692527771,13,12.875,1.33999705314636
"6","AU","PILZ",106,0,NA,7,42120,2651,4.77777767181396,3.20000004768372,3.55555558204651,4.19999980926514,5.33333349227905,4.40000009536743,5.08333349227905,3,2.72727274894714,5.75,7,2.81818175315857,2.46153855323792,7.83333349227905,5.77777767181396,6.09999990463257,13,10.75,2.97011041641235
"7","BE-FL","NVA",201,0,110,8,21916,501,7.46153831481934,6.57142877578735,6.2857141494751,4.76923084259033,5.7142858505249,3.5,8.2142858505249,7.92857122421265,8.2142858505249,1.78571426868439,4.35714292526245,7.692307472229,8.5714282989502,3.64285707473755,4.23076915740967,9,14,13.75,5.74924421310425
"8","BE-FL","CDV",202,0,109,4,21521,723,3,3.5,3.64285707473755,3.57142853736877,2.28571438789368,7.42857122421265,3.78571438789368,5.07142877578735,5.2142858505249,4.64285707473755,8,5,5.35714292526245,3.57142853736877,5.85714292526245,5.2857141494751,14,13.875,1.69717347621918
"9","BE-FL","OVLD",203,0,107,3,21421,1110,2.76923084259033,2.35714292526245,3,4.35714292526245,2.42857146263123,6.64285707473755,4.42857122421265,6.57142877578735,8.0714282989502,4.35714292526245,8.5,4.38461542129517,4.2857141494751,8.2142858505249,6.692307472229,5.42857122421265,14,13.8125,1.4224910736084
"10","BE-FL","SPa",204,0,103,5,21321,1029,4.76923084259033,3.35714292526245,3.78571438789368,4.7142858505249,4.35714292526245,6.35714292526245,5.5,2.85714292526245,2.64285707473755,6.14285707473755,8,3.46153855323792,3.85714292526245,7.92857122421265,6.14285707473755,5.07142877578735,14,13.875,3.02560019493103
